,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
91,2022-09-12,4110.75,12740.75,410.9700012207031,4119.75,12773.75,411.7300109863281,4062.25,12573.25,408.4599914550781,4077.25,12626.0,408.7799987792969,1718859,444255,69256300.0
92,2022-09-13,3931.25,12036.5,393.1000061035156,4158.0,12889.0,403.1000061035156,3919.75,12003.25,391.9200134277344,4118.25,12769.5,401.8299865722656,1418271,463841,122947100.0
93,2022-09-14,3947.5,12142.0,394.6000061035156,3962.75,12173.0,396.20001220703125,3911.25,12001.75,391.1199951171875,3936.75,12050.25,394.4700012207031,662596,270232,85023700.0
94,2022-09-15,3902.0,11934.75,390.1199951171875,3959.5,12187.75,395.9599914550781,3888.0,11866.5,388.7799987792969,3955.0,12159.0,392.9599914550781,438921,169928,87633800.0
95,2022-09-16,3871.239990234375,11814.580078125,385.55999755859375,3888.5,11880.0,386.25,3846.0,11750.5,382.1099853515625,3888.5,11880.0,384.1400146484375,2688630,754923,103084800.0
96,2022-09-19,3917.25,12024.0,388.54998779296875,3927.0,12066.25,388.54998779296875,3846.25,11792.25,382.17999267578125,3889.5,11920.0,382.260009765625,2100098,632663,73278500.0
97,2022-09-20,3872.75,11922.25,384.0899963378906,3936.25,12092.5,386.1199951171875,3843.25,11828.25,381.20001220703125,3923.0,12045.75,385.05999755859375,2357296,704882,77274900.0
98,2022-09-21,3806.25,11710.0,377.3900146484375,3925.25,12140.5,389.30999755859375,3792.0,11647.5,377.3800048828125,3878.75,11946.0,386.1099853515625,2440206,822965,106746600.0
99,2022-09-22,3772.0,11565.5,374.2200012207031,3833.0,11796.0,378.29998779296875,3763.5,11510.0,373.44000244140625,3794.0,11661.25,376.5799865722656,2578314,786180,89472600.0
100,2022-09-23,3709.0,11376.75,367.95001220703125,3783.25,11600.25,370.6199951171875,3660.25,11229.0,363.2900085449219,3777.25,11583.75,370.5799865722656,2913560,799378,122346900.0
101,2022-09-26,3670.0,11316.25,364.30999755859375,3730.5,11537.75,370.2099914550781,3657.5,11256.5,363.0299987792969,3705.25,11362.5,366.4100036621094,2899415,809853,92581200.0
102,2022-09-27,3661.0,11333.75,363.3800048828125,3733.0,11568.25,370.3999938964844,3635.25,11233.5,360.8699951171875,3668.0,11315.5,368.0199890136719,2963065,841073,108294100.0
103,2022-09-28,3732.0,11555.75,370.5299987792969,3751.25,11613.5,372.29998779296875,3613.0,11141.5,362.6000061035156,3668.5,11361.0,364.3800048828125,2780935,897742,110802200.0
104,2022-09-29,3654.25,11228.25,362.7900085449219,3736.0,11567.25,367.1099853515625,3622.0,11091.5,359.70001220703125,3730.25,11544.0,366.80999755859375,2860631,891823,112952300.0
105,2022-09-30,3601.5,11035.5,357.17999267578125,3693.75,11357.25,365.9100036621094,3595.25,11024.25,357.0400085449219,3656.5,11220.0,361.79998779296875,2976179,878168,153711200.0
