,Date,Open,High,Low,Close,Volume,IBR,CCI,SMA50,SMA200,RSI2,RSI5,EMA8,ER,EMA_100,Stoch,StochAboveSlow,Sell,Buy,LongTradeIn,LongTradeOut,HoldLong,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,RunningMax,Drawdown
103,2022-09-15,12159.0,12187.75,11866.5,11934.75,169928.0,0.21245136186770427,-102.750845378101,12639.13,,19.60546776435811,32.22824472561,12239.361662233954,0.17360079247152055,12513.248058162648,5.042482452899889,False,False,True,True,False,False,0,0,21802.20703125,0.0,23812.20703125,2010.0
104,2022-09-16,11880.0,11880.0,11750.5,11814.580078125,754923.0,0.4948268581081081,-130.66001743880054,12632.6516015625,,13.053476424182719,28.513968305522283,12144.965754654186,0.224029950415464,12497.438036206235,5.628465360122969,False,False,False,False,False,True,1,0,19398.80859375,-2403.3984375,23812.20703125,4413.3984375
105,2022-09-19,11920.0,12066.25,11792.25,12024.0,632663.0,0.8458029197080292,-97.23161657348449,12630.0916015625,,59.836081087708365,42.85942561777083,12118.084475842144,0.037263362953208576,12486.754898249144,24.022837066315326,True,False,False,False,False,True,2,0,23587.20703125,1785.0,23812.20703125,225.0
106,2022-09-20,12045.75,12092.5,11828.25,11922.25,704882.0,0.35572374645222327,-93.75070022740893,12630.8516015625,,39.29212391207581,38.20333979246646,12074.56570343278,0.04458340758501142,12474.051933657684,15.085638998682477,True,False,False,False,True,True,3,0,21552.20703125,-250.0,23812.20703125,2260.0
107,2022-09-21,11946.0,12140.5,11647.5,11710.0,822965.0,0.12677484787018256,-112.15595352265518,12629.4716015625,,16.15364577940025,29.770345605566362,11993.55110266994,0.25875900473370833,12456.904905391795,5.034232782923882,False,False,False,False,False,False,0,0,21552.20703125,0.0,23812.20703125,2260.0
108,2022-09-22,11661.25,11796.0,11510.0,11565.5,786180.0,0.19405594405594406,-149.56779285057235,12625.5366015625,,8.965159478476238,25.06238310253387,11898.428635409955,0.34002673144035395,12436.952471986528,4.024655547498187,False,False,True,True,False,False,0,0,21552.20703125,0.0,23812.20703125,2260.0
109,2022-09-23,11583.75,11600.25,11229.0,11376.75,799378.0,0.397979797979798,-187.98516342032033,12617.1216015625,,4.145620247670934,19.919029152092136,11782.500049763297,0.5675532254387965,12413.282915128164,8.900602409638553,True,False,True,False,False,True,1,0,17777.20703125,-3775.0,23812.20703125,6035.0
110,2022-09-26,11362.5,11537.75,11256.5,11316.25,809853.0,0.21244444444444444,-172.23195115357717,12603.2966015625,,3.0831067199518003,18.405631042270784,11678.888927593676,0.6934101017092246,12388.85275013971,5.256024096385542,False,False,True,False,False,True,2,0,16567.20703125,-4985.0,23812.20703125,7245.0
111,2022-09-27,11315.5,11568.25,11233.5,11333.75,841073.0,0.2994772218073189,-147.1878609386965,12591.8316015625,,15.597578610221206,20.58719643488898,11602.191388128414,0.5138602068534117,12365.414171632723,6.3102409638554215,False,False,True,False,True,True,3,0,16917.20703125,-4635.0,23812.20703125,6895.0
112,2022-09-28,11361.0,11613.5,11141.5,11555.75,897742.0,0.8776483050847458,-118.2828568875113,12577.4666015625,,80.26185073083388,44.231325016637356,11591.871079655433,0.3950232544673056,12347.471175877123,23.705293276108726,True,False,False,False,False,False,0,0,16917.20703125,0.0,23812.20703125,6895.0
113,2022-09-29,11544.0,11567.25,11091.5,11228.25,891823.0,0.28744088281660535,-128.78943305922164,12552.7266015625,,24.61668732023861,28.554090418797273,11511.066395287558,0.4403680446834879,12322.726450780612,7.60778859527121,False,False,False,False,False,False,0,0,16917.20703125,0.0,23812.20703125,6895.0
114,2022-09-30,11220.0,11357.25,11024.25,11035.5,878168.0,0.033783783783783786,-136.8208159924732,12520.6366015625,,13.55486712302256,22.648405903744617,11405.384974112545,0.4645899115169995,12294.332818682551,0.6032980292264378,False,False,True,True,False,False,0,0,16917.20703125,0.0,23812.20703125,6895.0
115,2022-10-03,11030.0,11358.25,10890.75,11285.75,757581.0,0.8449197860962567,-113.89361333899947,12497.8816015625,,60.105209007405364,42.08709505670767,11378.799424309756,0.42977732498908455,12272.13558313177,30.454895913646876,True,False,False,False,False,True,1,0,21922.20703125,5005.0,23812.20703125,1890.0
116,2022-10-04,11314.5,11675.0,11281.5,11640.75,772885.0,0.9129606099110547,-46.313038848853644,12483.6066015625,,84.21758594903022,59.93897744718999,11437.010663352034,0.1428209030948757,12258.27042487547,57.82575173477255,True,False,False,False,False,True,2,0,29022.20703125,12105.0,29022.20703125,0.0
117,2022-10-05,11630.25,11711.0,11366.5,11623.75,700889.0,0.7467343976777939,-35.70806659164633,12473.8316015625,,79.60931224131708,58.85303180029088,11478.508293718247,0.048571026326904125,12244.366429412577,58.651730346069215,True,False,False,False,True,True,3,0,28682.20703125,11765.0,29022.20703125,340.0
118,2022-10-06,11628.0,11729.75,11505.25,11541.75,773914.0,0.16258351893095768,-26.62148046092756,12452.2866015625,,52.10462632844029,53.057172847690524,11492.562006225304,0.013862541952429593,12229.002700165845,52.090418083616726,False,False,False,False,False,False,0,0,28682.20703125,0.0,29022.20703125,340.0
119,2022-10-07,11494.5,11564.5,11043.25,11101.5,759141.0,0.11175059952038369,-87.8307476940061,12419.5666015625,,11.062866041015027,31.944576987719046,11405.659338175237,0.14009415956228527,12204.399008834862,16.863372674534908,False,False,True,True,False,False,0,0,28682.20703125,0.0,29022.20703125,340.0
120,2022-10-10,11067.75,11136.5,10876.75,10984.5,757732.0,0.41482194417709334,-134.41390325644747,12379.8266015625,,7.798084515026758,28.214889880326908,11312.068374136295,0.16413110698824984,12177.832748897008,8.526211671612264,False,False,False,False,False,True,1,0,26342.20703125,-2340.0,29022.20703125,2680.0
121,2022-10-11,10987.0,11039.5,10767.25,10845.0,833906.0,0.28558310376492196,-148.75973995689762,12337.4766015625,,4.577071372481598,24.032926095503072,11208.275402106008,0.2280415257202846,12148.864308407487,7.55771567436209,False,False,True,False,False,True,2,0,23552.20703125,-5130.0,29022.20703125,5470.0
122,2022-10-12,10875.0,10976.75,10805.5,10840.5,731214.0,0.20437956204379562,-138.32018792211878,12295.7966015625,,4.458265265222792,23.890145554592323,11126.54753497134,0.37141373490847723,12120.482525084895,7.6103896103896105,False,False,True,False,True,True,3,0,23462.20703125,-5220.0,29022.20703125,5560.0
